事業所名称,事業所郵便番号,事業所所在地
子どもデイサービス　サニー,595-0011,大阪府泉大津市曽根町三丁目９番30号
ホップステップこっちゃん,595-0021,大阪府泉大津市東豊中町一丁目５番48号シンエイビル１階101号
ブロッサムジュニア　泉大津教室,595-0023,大阪府泉大津市豊中町二丁目９番１７号
きっず・すくーるそら,595-0021,大阪府泉大津市東豊中町三丁目16番１号フラット・フィールド・オペレーションズビル２階
放課後等デイサービス　オアシス,595-0006,大阪府泉大津市東助松町二丁目10番５号松内ビルⅡ１０１号室
ファーストステップ東助松,595-0006,大阪府泉大津市東助松町二丁目10番９号
スポーツアカデミー泉大津,595-0071,大阪府泉大津市助松町三丁目９番４０-106号
こどもデイケアいずみ自閉症児支援センター,597-0046,大阪府貝塚市東山二丁目1番1号
ほっこりの里,597-0105,大阪府貝塚市三ツ松1708番１
みつばち加神アフタースクール,597-0071,大阪府貝塚市加神二丁目15番28号
児童福祉サービスＬａｒｉｍａｒ,597-0053,大阪府貝塚市地蔵堂１番地８
キッズ・タカギ,597-0044,大阪府貝塚市森678番地
みつばち森アフタースクール,597-0044,大阪府貝塚市森510番地１
放課後デイサービス・児童発達支援ぱれっと,597-0033,大阪府貝塚市半田一丁目17番３号ヴァンテーヌ西納101号
こっとんオルタ,597-0033,大阪府貝塚市半田一丁目10番40号
児童デイサービスいっぽ,597-0033,大阪府貝塚市半田二丁目22番６号
こどもデイサービスｅｎｉｓｈｉ,597-0046,大阪府貝塚市東山七丁目６番21号
わくわくエイト,597-0084,大阪府貝塚市鳥羽158番地１　山裾ビル４階
キッズ・タカギⅡ,597-0073,大阪府貝塚市脇浜四丁目１番10号
運動＆学習療育　あなたが宝モノ　貝塚王子教室,597-0051,大阪府貝塚市王子1028番地１
児童デイサービス　ルミナス,597-0081,大阪府貝塚市麻生中973番地１
まいるーむ放課後こども教室貝塚校,597-0062,大阪府貝塚市澤1101番地の１ピアコートＵ207号室、208号室
こどもサポート　わんだ,597-0073,大阪府貝塚市脇浜二丁目６番２号
ハピスポ貝塚,597-0062,大阪府貝塚市澤835番地１
音楽＆リズム　あなたが宝モノ　貝塚王子教室,597-0051,大阪府貝塚市王子1029番５号いのちの木リエゾンビル３Ｆ
放課後等デイサービスはうす,597-0033,大阪府貝塚市半田591番地８サンプレス半田Ｂ棟１号室
放課後等デイサービス　みのり　貝塚校,597-0015,大阪府貝塚市堀二丁目８番11号
児童発達支援・放課後等デイサービスキラボシ,597-0003,大阪府貝塚市中町１番40号
パピプケア貝塚,597-0062,大阪府貝塚市澤1101番１号　ピアコートＵ101
放課後等デイサービス事業所どり～むはうす,570-0056,大阪府守口市寺内町一丁目８番７号創建ビル１階及び２階
みずいろはうす,570-0048,大阪府守口市寺方本通三丁目１番21号
ぷりずむ,570-0053,大阪府守口市高瀬町一丁目５番18号101号室
ワイワイスマイル守口教室,570-0014,大阪府守口市藤田町三丁目41番６号ツインコープ守口北館１階
どんぐりの家,570-0021,大阪府守口市八雲東町一丁目５番８号
きらら守口,570-0084,大阪府守口市緑町１番７号グリーンハイツ101号室
地域生活総合支援センターいま,570-0048,大阪府守口市寺方本通二丁目20番４号
あさがおねっと,570-0006,大阪府守口市八雲西町二丁目12番13号
放課後等デイサービスウィズ守口滝井,570-0076,大阪府守口市滝井西町三丁目７番４号
放課後等デイサービスらいとすぺーす,570-0029,大阪府守口市来迎町５番17号
ゆりいか,570-0081,大阪府守口市日吉町二丁目14番２号
Sunny　Kids,570-0035,大阪府守口市東光町三丁目５番13号
YCCもこもこ守口教室,570-0034,大阪府守口市西郷通一丁目４番14号扇商事ビル３Ｆ
放課後等デイサービス　くりーむうさぎ・守口,570-0005,大阪府守口市八雲中町二丁目１番４号　あんしんらいふ守口１F　B号室
オールケア守口,570-0012,大阪府守口市大久保町五丁目39番６号
オールケア大日,570-0015,大阪府守口市梶町一丁目4番14号
ＣＬＡＮ守口,570-0012,大阪府守口市大久保町二丁目16番17号
オールケア守口　ののはな,570-0014,大阪府守口市藤田町一丁目52番13号
ハイチーズ,570-0083,大阪府守口市京阪本通一丁目10番32号　メロディハイム守口Ａ棟201
ＣＯＭＰＡＳＳ発達支援センター守口,570-0002,大阪府守口市佐太中町一丁目３番５号　ピースフルマンション101号室
ファミリアキッズ守口,570-0017,大阪府守口市佐太東町一丁目38番2号REMY佐太ビル2階
あさがおねっと守口,570-0081,大阪府守口市日吉町二丁目14番8号ハイタウン日吉町コーポ1階
きららジュニア,570-0084,大阪府守口市緑町1番4号T's Cube緑町201
ビーナスキッズもりぐち,５７０－００３１,大阪府守口市橋波東之町三丁目２番33号サンリスタ守口
エコルド守口教室,570-0082,大阪府守口市豊秀町二丁目13番３号サンエイビル４階
ふくろう,570-0021,大阪府守口市八雲東町二丁目82番35号
療育こども園凸（でこ）,570-0037,大阪府守口市大枝北町12番6号
放課後等デイサービス　メルルキッズ守口,570-0014,大阪府守口市藤田町五丁目35番９号なるなるビル1階
ＹＣＣもこもこ守口駅前教室,570-0028,大阪府守口市本町一丁目１番９号本町ビル２階
児童発達支援・放課後等デイサービス　ＬＵＭＯ　守口校,570-0025,大阪府守口市竜田通一丁目６番５号ル・セルポ105号
児童発達支援・放課後等デイサービス　ちえのわ,570-0031,大阪府守口市橋波東之町一丁目４番18号セブンスヒルⅡ１階
キッズボンド守口,570-0021,大阪府守口市八雲東町一丁目７番４号
児童発達支援・放課後等デイサービス　ＬＵＭＯ　守口第二校,570-0025,大阪府守口市竜田通一丁目６番５号　ル・セルポ　106号
あけぼし,570-0041,大阪府守口市東郷通三丁目11番25号　レックスガーデン鶴見緑地101
みっくべりー,570-0078,大阪府守口市平代町４番10号
児童発達支援・放課後等デイサービス　きらめき,570-0092,大阪府守口市日光町３番６号　第３ニシキマンション１階104号
ｓｔｅｐ,570-0072,大阪府守口市早苗町６番９号
児童発達支援事業所すくすく親子教室,567-0031,大阪府茨木市春日三丁目13番5号
さくらんぼるーむ,567-0892,大阪府茨木市並木町1番6号　茨木スクエアービル201・202号
ひまわり,567-0806,大阪府茨木市庄一丁目13番27号
デイサービスなかよし,567-0036,大阪府茨木市上穂積二丁目5番16号
発達支援センターれふあ,567-0059,大阪府茨木市清水一丁目28番15号
ハーモニーデイ彩都,567-0085,大阪府茨木市彩都あさぎ一丁目2-18-202
生活介護事業所あいの,567-0012,大阪府茨木市東太田1丁目4番39号
ハイトップファミリー真砂,567-0851,大阪府茨木市真砂一丁目28番17号１Ｆ
フォルテひまわり,567-0806,大阪府茨木市庄一丁目７番27号ピアフォルテ102号・103号
発達サポートセンターつむぎ,567-0888,大阪府茨木市駅前一丁目８番20号１階右側
ジョイジョイ,567-0891,大阪府茨木市水尾二丁目７番18号
ドリームケアデイセンター茨木,567-0032,大阪府茨木市西駅前町４番Ｂ102・203号
こども発達支援センター風,567-0861,大阪府茨木市東奈良三丁目16番14号茨木市南茨木多世代交流センター２階特別利用保育室
わくわくクラブ茨木校,567-0829,大阪府茨木市双葉町13番25号つじせビル４階
なないろKids,567-0031,大阪府茨木市春日三丁目14番41号　メゾン春日101号室
放課後等デイサービス輝茨木館,567-0865,大阪府茨木市横江二丁目８番43号C-POINTビル303号室
こどもサポート教室「きらり茨木駅前校,567-0031,大阪府茨木市春日一丁目４番13号明日香ビル302号室
パルケあゆむ,567-0057,大阪府茨木市豊川二丁目６番23号
あいの放課後等デイサービス茨木,567-0011,大阪府茨木市高田町２番23号１Ｆ
あいの放課後等デイサービスあい,567-0007,大阪府茨木市南安威二丁目５番５号
７th　Sense　彩都駅前,567-0086,大阪府茨木市彩都やまぶき一丁目１番20号ｼﾞｵ彩都ﾌﾟﾚﾐｱﾑﾃﾗｽ101号
プレインジム茨木教室,567-0882,大阪府茨木市元町２番20号
こども発達サポートせーの,567-0803,大阪府茨木市中総持寺町５番４号エクセレント中村１階101号室
なないろHome,567-0027,大阪府茨木市西田中町７番15号　ドゥエルやま１階101号室
こたふくの部屋,567-0850,大阪府茨木市真砂玉島台10番26号
リールスメイト茨木郡,567-0072,大阪府茨木市郡五丁目22番34号ブランドール山中１階
リールスメディカル茨木玉島台,567-0850,大阪府茨木市真砂玉島台５番９号ポルトボヌール１階
放課後等デイサービス　ナーチャーハーツ,567-0805,大阪府茨木市橋の内二丁目２番26号クボタコーポ１階
プレインジム茨木駅前教室,567-0882,大阪府茨木市元町１番９号
YCCもこもこ茨木・吹田教室,567-0042,大阪府茨木市宇野辺二丁目13番10号
放課後等デイサービス　ウィズ・ユー茨木,567-0852,大阪府茨木市小柳町10番17号グランドハイツ小柳２階201・２・３号
放課後等デイサービスかしのき教室,567-0803,大阪府茨木市大手町８番13号日本医科薬品(株)ビルディング403
運動療育スタジオｓｐａｒｋ南茨木,567-0876,大阪府茨木市天王二丁目５番10号阪急グリーンプラザ２階Ａ区画
Ｌｉｅｎ茨木,567-0818,大阪府茨木市本町６番８号ナカヤビル１階
社会体験スタジオＳｋｉｌｌｓ南茨木,567-0876,大阪府茨木市天王二丁目５番１０号阪急グリーンプラザ２階Ｂ区画
なないろＳｔｕｄｙ,567-0031,大阪府茨木市春日四丁目５番11号　サンハイツ穂積102号室
なないろＫｉｄｓ２ｎｄ,567-0031,大阪府茨木市春日三丁目14番41号　メゾン春日101号室
こどもサポート教室「きらり」阪急茨木校,567-0816,大阪府茨木市永代町８番８号国里メディカルビル５Ｆ502号503号
えんりっち,567-0007,大阪府茨木市南安威二丁目６番20号田中ビル２階東店舗
あぽろ放課後等支援事業所,567-0831,大阪府茨木市鮎川二丁目32番25号アライブ21　102号
児童デイサービス　みのり,567-0817,大阪府茨木市別院町７番５号　三友ビル３階302号
ＬＩＴＡＬＩＣＯジュニア茨木教室,567-0031,大阪府茨木市春日二丁目２番12号　茨木セントラルビル301
アスト体操クラブ　児童発達支援・放課後等デイサービス,567^0897,大阪府茨木市主原町５番15号シャン・リ・フォーレビル１階
ハグマザリー,567-0009,大阪府茨木市山手台七丁目8番3号
リールきっず朋,567-0851,大阪府茨木市真砂二丁目16番15号　ヌーヴェルハイム１階
なないろＳｔｕｄｙ２ｎｄ,567-0818,大阪府茨木市本町６番13号マプログレイスⅡ１階
スリーケア真砂こどもセンター,567-0851,大阪府茨木市真砂一丁目13番２号エクセルハイムⅢ103号
ふわふわのおうち,567-0057,大阪府茨木市豊川一丁目34番３号２階
ツインズリハビリ児童発達支援・放課後等デイサービス,567-0032,大阪府茨木市西駅前町６番36号　ラビアンヌ・エスポワール201号室
Ａｍｂｉｔｉｏｎ　Ｋｉｄｓ,567-0804,大阪府茨木市総持寺台１番11号　ホクセツ・メディカルモール４－Ａ
児童発達支援・放課後等デイサービス　いろどり,567-0817,大阪府茨木市別院町６番43号２階
ツインズリハビリ２ｎｄ児童発達支援・放課後等デイサービス,567-0882,大阪府茨木市元町７番６号　野上ビル１Ｆ
スタサポ茨木校,567-0031,大阪府茨木市春日一丁目５番17号クラインフェルト２階２号室
コペルプラス　茨木教室,567-0888,大阪府茨木市駅前三丁目２番５号両泉ビル４階
ひまわり　はぁと茨木総持寺教室,567-0806,大阪府茨木市庄二丁目19番13号　サンプラザ総持寺２階
ＩＬＩＳ　ＣＬＵＢ泉佐野,598-0034,大阪府泉佐野市長滝281－５
アスレチッククラブこっとん,598-0032,大阪府泉佐野市新安松一丁目４番16号
放課後等デイサービスりーふ,598-0021,大阪府泉佐野市日根野415番地
いいね放課後等デイサービス,598-0034,大阪府泉佐野市長滝3839番地の１
放課後等デイサービスぴあーちぇ,598-0024,大阪府泉佐野市上之郷2221番地の１
良心地,598-0033,大阪府泉佐野市南中安松1281番地の5
放課後等デイサービスめーぷる,598-0021,大阪府泉佐野市日根野584番地
放課後等デイサービスオリオリ,598-0042,大阪府泉佐野市西本町14ー18
関西メディカルサポート療養型デイサービスセンター,598-0013,大阪府泉佐野市中町一丁目４番32号
キャンパスラビット,598-0032,大阪府泉佐野市新安松二丁目２番37号１
運動＆学習療育あなたが宝モノ泉佐野教室,598-0001,大阪府泉佐野市上瓦屋687-１松浪ビル３Ｆ
まいるーむ放課後こども教室ジャンプ,598-000２,大阪府泉佐野市中庄1740番地１新田寮２階
ラビット,598-0032,大阪府泉佐野市新安松二丁目２番37号
